0,008764
0,008246
0,010196
0,00739
0,006156
0,005293
0,00358
0,002781
0,000722
0,000812
-0,000435
-0,003791
-0,006872
-0,009429
-0,014812
-0,016065
-0,020795
-0,022655
-0,030103
-0,040274
-0,048009
-0,056006
-0,063741
-0,06663
-0,069411
-0,071636
-0,074896
-0,080739
-0,085604
-0,089554
-0,087911
-0,083405
-0,072217
-0,061644
-0,044307
-0,02683
-0,003235
0,010113
0,028332
0,046666
0,061593
0,07278
0,081762
0,103477
0,112146
0,124599
0,131394
0,137863
0,135396
0,134724
0,134763
0,13025
0,126299
0,120252
0,116486
0,109742
0,101962
0,092661
0,080521
0,064048
0,047165
0,030186
0,016889
-0,001649
-0,014799
-0,02192
-0,032455
-0,040561
-0,046097
-0,049389
-0,04875
-0,041335
-0,041168
-0,033216
-0,027949
-0,022668
-0,022259
-0,023429
-0,026568
-0,032065
-0,0364
-0,04315
-0,051767
-0,060397
-0,068932
-0,073943
-0,075484
-0,079237
-0,079428
-0,075107
-0,070038
-0,067992
-0,065582
-0,062443
-0,059061
-0,055354
-0,050745
-0,052202
-0,046609
-0,042326
-0,039417
-0,026939
-0,018922
-0,011762
-0,000678
0,008713
0,022547
0,032085
0,041635
0,051422
0,057444
0,065576
0,070408
0,074186
0,072933
0,071693
0,069136
0,062302
0,054753
0,044224
0,033222
0,027936
0,019619
0,01462
0,013373
0,01276
0,011782
0,014288
0,020552
0,02495
0,029623
0,033676
0,036189
0,037851
0,03879
0,037921
0,03289
0,027757
0,023595
0,015234
0,00739
-0,001892
-0,01212
-0,018436
-0,029061
-0,033357
-0,038637
-0,04191
-0,041501
-0,042063
-0,038228
-0,038138
-0,035147
-0,03211
-0,032858
-0,030934
-0,032021
-0,032903
-0,034041
-0,039021
-0,04012
-0,044831
-0,049441
-0,055092
-0,057035
-0,0619
-0,064546
-0,064738
-0,062622
-0,06243
-0,058192
-0,053295
-0,050502
-0,046449
-0,042754
-0,037959
-0,032558
-0,028307
-0,022118
-0,019159
-0,019402
-0,016244
-0,015381
-0,013137
-0,01315
-0,009998
-0,008489
-0,00241
0,001036
0,002947
0,004513
0,009972
0,013597
0,015636
0,016659
0,022202
0,024426
0,025999
0,031228
0,030934
0,035306
0,034955
